CurrentTime,index,name,selectROI,Vx,Vy,X,Y,row,col
0.2,7,out-7-V,tile-7,-0.6947193,0.04028567,-0.3255089,-0.1798797,1,3
0.2,8,out-8-V,tile-8,-1.660114,-0.1429774,0.2345206,0.2031022,2,3
0.2,9,out-9-V,tile-9,-0.0445351,0.004370392,0.02384244,0.01823603,3,3
0.233333333333333,1,out-1-V,tile-1,-0.007745952,0.003987111,-0.2523837,-0.2553248,1,1
0.233333333333333,2,out-2-V,tile-2,0,0,-0.1916971,0.005429369,2,1
0.233333333333333,3,out-3-V,tile-3,0,0,-0.09280562,0.1242668,3,1
0.233333333333333,4,out-4-V,tile-4,0.003295704,0.005123859,0.7402502,0.1240145,1,2
0.233333333333333,5,out-5-V,tile-5,-0.0147554,0.08311254,0.01005989,0.5318399,2,2
0.233333333333333,6,out-6-V,tile-6,0,0,-0.01358394,0.02264716,3,2
0.233333333333333,7,out-7-V,tile-7,0.07560042,-0.0401092,-0.3229889,-0.1812167,1,3
0.233333333333333,8,out-8-V,tile-8,0.5700253,0.1138698,0.2535214,0.2068979,2,3
0.233333333333333,9,out-9-V,tile-9,3.760184e-05,-1.346605e-06,0.0238437,0.01823599,3,3
0.266666666666667,1,out-1-V,tile-1,0.01465027,-0.0003810765,-0.2518954,-0.2553375,1,1
0.266666666666667,2,out-2-V,tile-2,0.0005462617,-4.613769e-05,-0.1916789,0.005427831,2,1
0.266666666666667,3,out-3-V,tile-3,-9.335929e-06,-7.678669e-05,-0.09280594,0.1242642,3,1
0.266666666666667,4,out-4-V,tile-4,-0.1075249,-0.02650225,0.736666,0.123131,1,2
0.266666666666667,5,out-5-V,tile-5,-0.1695345,0.4530009,0.004408743,0.5469399,2,2
0.266666666666667,6,out-6-V,tile-6,0,0,-0.01358394,0.02264716,3,2
0.266666666666667,7,out-7-V,tile-7,-1.121162,0.06843383,-0.360361,-0.1789355,1,3
0.266666666666667,8,out-8-V,tile-8,-2.592917,-0.02513384,0.1670909,0.2060601,2,3
0.266666666666667,9,out-9-V,tile-9,-0.1725259,0.00313966,0.01809283,0.01834064,3,3
0.3,1,out-1-V,tile-1,-4.593226e-06,-0.0004445313,-0.2518955,-0.2553523,1,1
0.3,2,out-2-V,tile-2,0.0008329352,-4.129019e-05,-0.1916512,0.005426455,2,1
0.3,3,out-3-V,tile-3,0.005698589,-8.738924e-05,-0.09261598,0.1242613,3,1
0.3,4,out-4-V,tile-4,0.000165866,0.008207786,0.7366716,0.1234046,1,2
0.3,5,out-5-V,tile-5,0.02436252,-0.0003835598,0.005220828,0.5469271,2,2
0.3,6,out-6-V,tile-6,0,0,-0.01358394,0.02264716,3,2
0.3,7,out-7-V,tile-7,0.1433799,-0.002918608,-0.3555816,-0.1790328,1,3
0.3,8,out-8-V,tile-8,0.157434,-0.008327835,0.1723387,0.2057825,2,3
0.3,9,out-9-V,tile-9,0.01079305,0.002735415,0.0184526,0.01843182,3,3
0.333333333333333,1,out-1-V,tile-1,5.05625e-05,0.01271901,-0.2518938,-0.2549283,1,1
0.333333333333333,2,out-2-V,tile-2,0.006511315,-0.0001432935,-0.1914341,0.005421679,2,1
0.333333333333333,3,out-3-V,tile-3,0.0006751703,-5.14803e-05,-0.09259348,0.1242596,3,1
0.333333333333333,4,out-4-V,tile-4,0.006784573,-0.01628242,0.7368977,0.1228619,1,2
0.333333333333333,5,out-5-V,tile-5,0.02022307,-0.1271404,0.00589493,0.5426891,2,2
0.333333333333333,6,out-6-V,tile-6,0,0,-0.01358394,0.02264716,3,2
0.333333333333333,7,out-7-V,tile-7,0.2741872,-0.0316106,-0.346442,-0.1800865,1,3
0.333333333333333,8,out-8-V,tile-8,0.6675116,0.01809869,0.1945891,0.2063858,2,3
0.333333333333333,9,out-9-V,tile-9,0.05893683,-0.001765765,0.02041716,0.01837296,3,3
0.366666666666667,1,out-1-V,tile-1,0,0,-0.2518938,-0.2549283,1,1
0.366666666666667,2,out-2-V,tile-2,0,0,-0.1914341,0.005421679,2,1
0.366666666666667,3,out-3-V,tile-3,0,0,-0.09259348,0.1242596,3,1
0.366666666666667,4,out-4-V,tile-4,0.004210745,-0.0002672792,0.7370381,0.122853,1,2
0.366666666666667,5,out-5-V,tile-5,0.02559776,-0.0985445,0.006748189,0.5394043,2,2
0.366666666666667,6,out-6-V,tile-6,0,0,-0.01358394,0.02264716,3,2
0.366666666666667,7,out-7-V,tile-7,0.3630725,-0.03006853,-0.3343396,-0.1810888,1,3
0.366666666666667,8,out-8-V,tile-8,0.6791399,0.00743716,0.2172271,0.2066337,2,3
0.366666666666667,9,out-9-V,tile-9,0.0070418,-3.927548e-05,0.02065189,0.01837165,3,3
0.4,1,out-1-V,tile-1,2.450187e-06,0.0005668022,-0.2518938,-0.2549094,1,1
0.4,2,out-2-V,tile-2,0.007393119,-0.0001552393,-0.1911877,0.005416504,2,1
0.4,3,out-3-V,tile-3,0.0007256995,-1.611059e-05,-0.09256928,0.1242591,3,1
