CurrentTime,index,name,selectROI,Vx,Vy,row,col
0.3,5,out-5-V,tile-5,0.05653977,7.425473,2,2
0.3,6,out-6-V,tile-6,0,7.689483,3,2
0.3,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.3,8,out-8-V,tile-8,7.68949,0,2,3
0.3,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.333333333333333,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.333333333333333,2,out-2-V,tile-2,-7.689487,0,2,1
0.333333333333333,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.333333333333333,4,out-4-V,tile-4,0,-7.689483,1,2
0.333333333333333,5,out-5-V,tile-5,0.05418988,7.428097,2,2
0.333333333333333,6,out-6-V,tile-6,0,7.689483,3,2
0.333333333333333,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.333333333333333,8,out-8-V,tile-8,7.68949,0,2,3
0.333333333333333,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.366666666666667,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.366666666666667,2,out-2-V,tile-2,-7.689487,0,2,1
0.366666666666667,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.366666666666667,4,out-4-V,tile-4,0,-7.689483,1,2
0.366666666666667,5,out-5-V,tile-5,0.1185472,9.875003,2,2
0.366666666666667,6,out-6-V,tile-6,0,7.689483,3,2
0.366666666666667,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.366666666666667,8,out-8-V,tile-8,7.68949,0,2,3
0.366666666666667,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.4,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.4,2,out-2-V,tile-2,-7.689487,0,2,1
0.4,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.4,4,out-4-V,tile-4,0,-7.689483,1,2
0.4,5,out-5-V,tile-5,0.1259341,9.870122,2,2
0.4,6,out-6-V,tile-6,0,7.689483,3,2
0.4,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.4,8,out-8-V,tile-8,7.68949,0,2,3
0.4,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.433333333333333,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.433333333333333,2,out-2-V,tile-2,-7.689487,0,2,1
0.433333333333333,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.433333333333333,4,out-4-V,tile-4,0,-7.689483,1,2
0.433333333333333,5,out-5-V,tile-5,0.1248178,9.876137,2,2
0.433333333333333,6,out-6-V,tile-6,0,7.689483,3,2
0.433333333333333,7,out-7-V,tile-7,7.475597,-7.47559,1,3
0.433333333333333,8,out-8-V,tile-8,7.68949,0,2,3
0.433333333333333,9,out-9-V,tile-9,7.515259,7.515254,3,3
0.466666666666667,1,out-1-V,tile-1,-7.515257,-7.515253,1,1
0.466666666666667,2,out-2-V,tile-2,-7.689487,0,2,1
0.466666666666667,3,out-3-V,tile-3,-7.475595,7.47559,3,1
0.466666666666667,4,out-4-V,tile-4,0,-7.689483,1,2
