x_value,y_value,x_nom,y_nom,record_timestamp,sensor_timestamp,frame_rate,is_event,event_id,direction,updated_x_nom,updated_y_nom,dXdt_nom,dYdt_nom,updated_dXdt_nom,updated_dYdt_nom
403.010009765625,337.512237548828,0.370413611916935,0.68748866893627,4.40023946762085,1634096498.93039,47.7444706257328,1,1,NaN,0.370413611916935,0.68748866893627,0.20560346107153,0.0738312856669512,0.20560346107153,0.0738312856669512
407.025909423828,336.080749511719,0.374104696161607,0.688814120822483,4.41819190979004,1634096498.95026,55.7027278280964,0,1,NaN,0.374104696161607,0.688814120822483,0.160539125543534,0.0701775798110252,0.160539125543534,0.0573820258900716
409.803771972656,334.564270019531,0.376657878651338,0.690218268500434,4.43913507461548,1634096498.97024,47.7482753124929,0,1,NaN,0.376657878651338,0.689720577663846,0.158314875223401,0.0233047214100451,0.158314875223401,0.0233047214100451
413.7255859375,335.101776123047,0.380262487074908,0.689720577663846,4.45708775520325,1634096498.98627,55.7019880742108,0,1,NaN,0.380262487074908,0.689720577663846,0.299106743768184,-0.0178247631599977,0.299106743768184,-0.00342423259283176
423.435150146484,335.370635986328,0.389186718884636,0.689471633345992,4.48102259635925,1634096499.00633,41.7800976192848,0,1,NaN,0.389186718884636,0.689577145046658,0.362707598606127,-0.00334460060488594,0.362707598606127,-0.00334460060488594
430.649047851562,335.256683349609,0.395817139569451,0.689577145046658,4.4999725818634,1634096499.03034,52.7704889157293,0,1,NaN,0.395817139569451,0.689577145046658,0.283558098430303,0.0133998239207309,0.283558098430303,0.00834065483512485
435.435028076172,334.807739257812,0.400216018452364,0.689992834020544,4.51991868019104,1634096499.05036,50.1351183361224,0,1,NaN,0.400216018452364,0.689901563856337,0.232544240779818,0.00813224189807774,0.232544240779818,0.0104201211185908
440.742279052734,334.906311035156,0.405094006482293,0.689901563856337,4.53986549377441,1634096499.07024,50.1333205837706,0,1,NaN,0.405094006482293,0.689992834020544,0.173457061818766,0.0615074590260412,0.173457061818766,0.0637953245732066
442.963714599609,332.15771484375,0.407135767095229,0.692446560329861,4.55981183052063,1634096499.09037,50.1345190710128,0,1,NaN,0.407135767095229,0.692446560329861,0.222979526420795,0.130166451853645,0.222979526420795,0.127878654670767
450.420715332031,329.297973632812,0.413989628062529,0.695094468858507,4.5797598361969,1634096499.11038,50.1303246163408,0,1,NaN,0.413989628062529,0.695094468858507,0.179031888692923,0.126220886551465,0.163622569443068,0.126220886551465
451.122985839844,326.447570800781,0.414635097279268,0.697733730740017,4.60170006752014,1634096499.13031,45.5783708597757,0,1,NaN,0.413989628062529,0.697733730740017,-0.00199544801606491,0.153441113984266,0.0161801443781779,0.153441113984266
450.334106445312,322.687103271484,0.413910024306353,0.701215645118996,4.61965250968933,1634096499.15038,55.7027278280964,0,1,NaN,0.414635097279268,0.701215645118996,0.0463991354148393,0.131237987067878,0.0618079284440436,0.131237987067878
453.237670898438,320.51025390625,0.416578741634593,0.703231246383102,4.64358973503113,1634096499.17072,41.7759362549801,0,1,NaN,0.416578741634593,0.703231246383102,0.118635408219784,0.0521290172433619,0.0824970419827465,0.0521290172433619
455.740905761719,320.328796386719,0.418879508972168,0.70339926260489,4.661541223526,1634096499.19039,55.705687040136,0,1,NaN,0.418090792263255,0.70339926260489,0.0369793762135535,0.0802631752282354,0.0435469935521117,0.0752529463709004
454.882781982422,316.9658203125,0.418090792263255,0.706513129340278,4.68447875976562,1634096499.21034,45.5793614570429,0,1,NaN,0.418359335731058,0.706308265968605,-0.0118541312238503,0.0662927364939251,0,0.0662927364939251
455.174957275391,317.187072753906,0.418359335731058,0.706308265968605,4.70542240142822,1634096499.23035,45.5758945549772,0,1,NaN,0.418090792263255,0.706308265968605,-0.0445381734597934,-0.0432271214733883,-0.0518153894800263,-0.0376755620834139
453.094604492188,318.688598632812,0.416447246775908,0.704917964228877,4.72138071060181,1634096499.25024,62.6632802462127,0,1,NaN,0.416447246775908,0.704917964228877,-0.0900809281945054,-0.0644081934439238,-0.0828040412792375,-0.0644081934439238
451.55810546875,319.754119873047,0.415035023408778,0.70393137048792,4.74232602119446,1634096499.27026,47.7433836837372,0,1,NaN,0.415035023408778,0.70393137048792,-0.0380692495169064,-0.0473341898372439,-0.0380692495169064,-0.0473341898372439
451.524871826172,320.626007080078,0.415004477781408,0.703124067518446,4.75927925109863,1634096499.29029,58.9858101171474,0,1,NaN,0.415004477781408,0.703124067518446,-0.0490054823415606,-0.119523178807972,-0.0490054823415606,-0.119523178807972
449.590606689453,324.517517089844,0.413226660560159,0.699520817509404,4.7792272567749,1634096499.31055,50.1303246163408,0,1,NaN,0.413226660560159,0.699520817509404,-0.0608724143725731,-0.145247907450139,-0.0608724143725731,-0.145247907450139
448.8828125,326.883880615234,0.412576114430147,0.697329740171079,4.79917192459106,1634096499.33048,50.138714227652,0,1,NaN,0.412576114430147,0.697329740171079,-0.0656224478567118,-0.183406591047062,-0.0656224478567118,-0.183406591047062
446.742431640625,332.419281005859,0.410608852610869,0.692204369439019,4.8191192150116,1634096499.35037,50.1321221538278,0,1,NaN,0.410608852610869,0.692204369439019,-0.0976310868588279,-0.141340090326579,-0.0458726337194042,-0.141340090326579
444.327423095703,333.430206298828,0.408389175639433,0.691268327501085,4.84205722808838,1634096499.37048,43.595755074889,0,1,NaN,0.410608852610869,0.691268327501085,0.0363466250346329,-0.265744843682296,0.0363466250346329,-0.265744843682296
