CurrentTime,index,name,selectROI,Vx,Vy,X,Y,row,col,isblink,Vx_updated,Vy_updated
87.0666666666667,9,out-9-V,tile-9,-0.001293775,0.001247936,0.899489436028927,-0.496145429790197,3,3,0,-0.001293775,0.001247936
87.1,9,out-9-V,tile-9,0.009370514,-0.00261413,0.899624048345593,-0.496168199690197,3,3,0,0.009370514,-0.00261413
87.1333333333333,9,out-9-V,tile-9,-0.09045967,0.07887579,0.898272562412261,-0.494897172023532,3,3,0,-0.09045967,0.07887579
87.1666666666667,9,out-9-V,tile-9,-0.0519771,0.02612011,0.89589861624559,-0.493147240356861,3,3,0,-0.0519771,0.02612011
87.2,9,out-9-V,tile-9,-0.0021307,0.001829886,0.894996819578924,-0.492681407090195,3,3,0,-0.0021307,0.001829886
87.2333333333333,9,out-9-V,tile-9,0.004183623,0.001498106,0.895031034962257,-0.492625940556862,3,3,0,0.004183623,0.001498106
87.2666666666667,9,out-9-V,tile-9,0.02082258,0.1361594,0.895447805012258,-0.490331648790191,3,3,0,0.02082258,0.1361594
87.3,9,out-9-V,tile-9,-0.1546986,-0.04166413,0.89321653801226,-0.488756727623526,3,3,0,-0.1546986,-0.04166413
87.3333333333333,9,out-9-V,tile-9,-0.0551043,-0.0003180334,0.889719823012263,-0.489456430346859,3,3,0,-0.0551043,-0.0003180334
87.3666666666667,9,out-9-V,tile-9,-0.0009316789,-0.000137779,0.888785890030594,-0.489464027220192,3,3,0,-0.0009316789,-0.000137779
87.4,9,out-9-V,tile-9,0.04777952,-0.03164462,0.88956668738226,-0.489993733870192,3,3,0,0.04777952,-0.03164462
87.4333333333333,9,out-9-V,tile-9,-0.004931413,-0.08722646,0.890280822498926,-0.491974918536856,3,3,0,-0.004931413,-0.08722646
87.4666666666667,9,out-9-V,tile-9,0.02313047,-0.01063532,0.890584140115593,-0.493605948203526,3,3,0,0.02313047,-0.01063532
87.5,9,out-9-V,tile-9,0.08137236,0.02138964,0.892325853948925,-0.493426709536859,3,3,0,0.08137236,0.02138964
87.5333333333333,9,out-9-V,tile-9,0.04714119,0.01321945,0.894467746448923,-0.492849891370193,3,3,0,0.04714119,0.01321945
87.5666666666667,9,out-9-V,tile-9,0.01135373,-0.04262894,0.895442661782259,-0.493340049536861,3,3,0,0.01135373,-0.04262894
87.6,9,out-9-V,tile-9,0.1154232,-0.07811581,0.897555610615589,-0.495352462036858,3,3,0,0.1154232,-0.07811581
87.6333333333333,9,out-9-V,tile-9,0.1955641,-0.1021898,0.902738732282251,-0.498357555536855,3,3,0,0.1955641,-0.1021898
87.6666666666667,9,out-9-V,tile-9,0.1285401,-0.0911393,0.908140468948929,-0.501579707203529,3,3,0,0.1285401,-0.0911393
87.7,9,out-9-V,tile-9,0.2613416,-0.1482351,0.914638497282256,-0.505569280536858,3,3,0,0.2613416,-0.1482351
87.7333333333333,9,out-9-V,tile-9,0.1060374,-0.05544388,0.920761480615584,-0.508963930203522,3,3,0,0.1060374,-0.05544388
87.7666666666667,9,out-9-V,tile-9,0.1043133,-0.05336185,0.92426732561559,-0.510777359036858,3,3,0,0.1043133,-0.05336185
87.8,9,out-9-V,tile-9,0.07032635,-0.05365885,0.92717798644892,-0.51256103737019,3,3,0,0.07032635,-0.05365885
87.8333333333333,9,out-9-V,tile-9,0.0720837,-0.04040552,0.929551487282252,-0.514128776870189,3,3,0,0.0720837,-0.04040552
87.8666666666667,9,out-9-V,tile-9,0.08393321,-0.05612292,0.93215176911559,-0.515737584203525,3,3,0,0.08393321,-0.05612292
87.9,9,out-9-V,tile-9,0.0557032,-0.004601841,0.934479042615588,-0.516749663553524,3,3,0,0.0557032,-0.004601841
87.9333333333333,9,out-9-V,tile-9,0.05697165,-0.0247799,0.936356956782252,-0.517239359236857,3,3,0,0.05697165,-0.0247799
87.9666666666667,9,out-9-V,tile-9,-0.008652076,-0.00235557,0.937162283015587,-0.517691617070191,3,3,0,-0.008652076,-0.00235557
88,9,out-9-V,tile-9,0.04031187,-0.01839028,0.93768994624892,-0.518037381236857,3,3,0,0.04031187,-0.01839028
88.0333333333333,9,out-9-V,tile-9,-0.005303025,0.008765197,0.93827342699892,-0.518197799286857,3,3,0,-0.005303025,0.008765197
88.0666666666667,9,out-9-V,tile-9,0.02008013,-0.00680736,0.938519712082253,-0.518165168670191,3,3,0,0.02008013,-0.00680736
88.1,9,out-9-V,tile-9,-0.1161247,0.04817249,0.936918969248922,-0.517475749836858,3,3,0,-0.1161247,0.04817249
88.1333333333333,9,out-9-V,tile-9,-0.4160226,0.2732214,0.928049847582263,-0.51211918500353,3,3,0,-0.4160226,0.2732214
88.1666666666667,9,out-9-V,tile-9,0.05340811,-0.02120889,0.922006272748918,-0.507918976503521,3,3,0,0.05340811,-0.02120889
88.2,9,out-9-V,tile-9,0.02631428,-0.009390623,0.923334979248916,-0.508428968386854,3,3,0,0.02631428,-0.009390623
88.2333333333333,9,out-9-V,tile-9,0.03764781,-0.01949813,0.924401014082249,-0.50891044760352,3,3,0,0.03764781,-0.01949813
88.2666666666667,9,out-9-V,tile-9,0.03577159,-0.02494284,0.925624670748918,-0.509651130436855,3,3,0,0.03577159,-0.02494284
88.3,9,out-9-V,tile-9,0.1177129,-0.05099031,0.928182745582249,-0.510916682936854,3,3,0,0.1177129,-0.05099031
88.3333333333333,9,out-9-V,tile-9,0.04186515,-0.03307792,0.930842379748913,-0.512317820103519,3,3,0,0.04186515,-0.03307792
88.3666666666667,9,out-9-V,tile-9,0.004209596,-0.001658496,0.931610292182248,-0.512896760370187,3,3,0,0.004209596,-0.001658496
88.4,9,out-9-V,tile-9,0.0274746,-0.009043241,0.932138362115581,-0.51307512265352,3,3,0,0.0274746,-0.009043241
88.4333333333333,9,out-9-V,tile-9,0.004778039,-0.04789452,0.932675906098913,-0.514024085336852,3,3,0,0.004778039,-0.04789452
88.4666666666667,9,out-9-V,tile-9,-0.03754346,-0.04859148,0.932129815748912,-0.515632185336855,3,3,0,-0.03754346,-0.04859148
88.5,9,out-9-V,tile-9,-0.0983536,-0.02362205,0.929864864748914,-0.516835744170188,3,3,0,-0.0983536,-0.02362205
88.5333333333333,9,out-9-V,tile-9,-0.1100076,-0.07389896,0.926392178082251,-0.518461094336853,3,3,0,-0.1100076,-0.07389896
