x_value,y_value,x_nom,y_nom,record_timestamp,sensor_timestamp,frame_rate,is_event,event_string
582.892333984375,535.7389526367188,0.5357466305003447,0.5039454142252604,43.03363037109375,1626068271.2504148,33.94630818164895,false, 
582.7794799804688,536.1177978515625,0.5356429043938132,0.5035946316189236,43.07414126396179,1626068271.2905948,24.684718830003238,false, 
583.9383544921875,535.8173828125,0.5367080464082605,0.5038727936921297,43.114670276641846,1626068271.330422,24.673682724379525,false, 
584.2853393554688,536.2172241210938,0.5370269663193646,0.5035025702582465,43.15263533592224,1626068271.3704267,26.34000891752545,false, 
582.8236694335938,536.1259155273438,0.5356835196999943,0.5035871152524595,43.19260859489441,1626068271.4063869,25.016724323034712,false, 
581.5634765625,535.8306884765625,0.5345252541934743,0.5038604736328125,43.243476152420044,1626068271.446501,19.658895544494126,false, 
580.6259155273438,535.8644409179688,0.5336635253008675,0.5038292213722512,43.26592755317688,1626068271.4864178,44.540650751847764,false, 
580.116455078125,536.96240234375,0.533195271211512,0.5028125904224536,43.30881595611572,1626068271.518384,23.316326360437387,false, 
580.7446899414062,535.5732421875,0.5337726929608513,0.5040988498263889,43.35170340538025,1626068271.558404,23.31684483803361,false, 
582.5580444335938,534.4508666992188,0.5354393790749943,0.5051380863896122,43.38561511039734,1626068271.5983899,29.48834331674119,false, 
581.0274658203125,531.291015625,0.5340325972613167,0.5080638744212963,43.42351675033569,1626068271.638789,26.38408263142334,false, 
578.47705078125,532.9208984375,0.5316884657915901,0.5065547236689815,43.464409828186035,1626068271.6783967,24.454016488065392,false, 
576.1575927734375,533.00146484375,0.5295566110049977,0.506480125144676,43.515278339385986,1626068271.7185519,19.658526982817612,false, 
575.9241333007812,532.9453735351562,0.5293420342838063,0.506532061541522,43.55118465423584,1626068271.7583978,27.85025431269173,false, 
573.7059326171875,533.9407348632812,0.5273032468907973,0.505610430682147,43.58709168434143,1626068271.798383,27.849699545167823,false, 
573.55615234375,536.0181884765625,0.5271655811982996,0.5036868625217014,43.620006799697876,1626068271.8343968,30.38117865214116,false, 
575.2074584960938,536.2855224609375,0.5286833258236155,0.5034393310546875,43.66189670562744,1626068271.8744078,23.872099442797058,false, 
575.5416259765625,537.80810546875,0.5289904650519875,0.5020295319733796,43.69580864906311,1626068271.910389,29.488135998368918,false, 
575.901611328125,537.3219604492188,0.5293213339412913,0.5024796662507234,43.73271179199219,1626068271.9504168,27.097962954588038,false, 
581.5701904296875,538.78515625,0.5345314250272863,0.5011248553240741,43.777594804763794,1626068271.990423,22.280144273929235,false, 
579.78564453125,540.844482421875,0.532891217400046,0.4992180718315973,43.82048439979553,1626068272.030691,23.31567829586641,false, 
579.6336669921875,542.5540771484375,0.532751532161937,0.49763511375144676,43.86436939239502,1626068272.0746317,22.786833055354844,false, 
577.400146484375,541.9890747070312,0.5306986640481388,0.4981582641601563,43.90326738357544,1626068272.1104267,25.708268464603126,false, 
