CurrentTime,index,name,selectROI,Vx,Vy,X,Y,active,row,col
0.233333333333333,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.233333333333333,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.233333333333333,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.233333333333333,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.233333333333333,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.233333333333333,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.233333333333333,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.266666666666667,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.266666666666667,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.266666666666667,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.266666666666667,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.266666666666667,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.266666666666667,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.266666666666667,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.266666666666667,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.266666666666667,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.266666666666667,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.3,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.3,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.3,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.3,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.3,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.3,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.3,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.3,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.3,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.3,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.333333333333333,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.333333333333333,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.333333333333333,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.333333333333333,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.333333333333333,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.333333333333333,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.333333333333333,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.333333333333333,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.333333333333333,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.333333333333333,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.366666666666667,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.366666666666667,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.366666666666667,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.366666666666667,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.366666666666667,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.366666666666667,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.366666666666667,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.366666666666667,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.366666666666667,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.366666666666667,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.4,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.4,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.4,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.4,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.4,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.4,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.4,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.4,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.4,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.4,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.433333333333333,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.433333333333333,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.433333333333333,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.433333333333333,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.433333333333333,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.433333333333333,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.433333333333333,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.433333333333333,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.433333333333333,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.433333333333333,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.466666666666667,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.466666666666667,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.466666666666667,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.466666666666667,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.466666666666667,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.466666666666667,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.466666666666667,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.466666666666667,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.466666666666667,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.466666666666667,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.5,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.5,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.5,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.5,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.5,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.5,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.5,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.5,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.5,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.5,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.533333333333333,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.533333333333333,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.533333333333333,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.533333333333333,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.533333333333333,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.533333333333333,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.533333333333333,6,out-6-V,tile-6,0,0,0,0,1,3,2
0.533333333333333,7,out-7-V,tile-7,0,0,-0.0258248,0.02979048,1,1,3
0.533333333333333,8,out-8-V,tile-8,0,0,0,0,1,2,3
0.533333333333333,9,out-9-V,tile-9,0,0,0,0,1,3,3
0.566666666666667,0,out-0-V,global,0,0,-0.0079154,0.007686029,1,0,0
0.566666666666667,1,out-1-V,tile-1,0,0,0.001511598,0.01384725,1,1,1
0.566666666666667,2,out-2-V,tile-2,0,0,0,0,1,2,1
0.566666666666667,3,out-3-V,tile-3,0,0,0,0,1,3,1
0.566666666666667,4,out-4-V,tile-4,0,0,-0.0469254,0.02553656,1,1,2
0.566666666666667,5,out-5-V,tile-5,0,0,0,0,1,2,2
0.566666666666667,6,out-6-V,tile-6,0,0,0,0,1,3,2
